ingredient_a,ingredient_b,severity,mechanism,advice,min_interval_hours,source
아세메타신,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
아스피린,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
케토롤락,클로닉신,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
디플루니살,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
이부프로펜,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
인도메타신,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
케토롤락,케토프로펜,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
로녹시캄,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
니메술리드,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
옥사프로진,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
케토롤락,피록시캄,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
살살레이트,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
설린닥,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
브롬페리돌,아만타딘,5,항콜린작용 증가,,,식약처 DUR 병용금기
아만타딘,클로르프로마진,5,항콜린작용 증가,,,식약처 DUR 병용금기
아만타딘,페르페나진,5,amantadine의 효과 저해,,,식약처 DUR 병용금기
아나스트로졸,에스트로겐,5,anastrozole의 약리작용 감소,,,식약처 DUR 병용금기
아나스트로졸,타목시펜,5,anastrozole의 혈장농도 감소,,,식약처 DUR 병용금기
브로모크립틴,브롬페리돌,5,"지발성 운동장애 촉진, bromocryptine의 작용감약",,,식약처 DUR 병용금기
브롬페리돌,에피네프린,5,혈압강하,,,식약처 DUR 병용금기
모클로베미드,부스피론,5,혈압상승,,,식약처 DUR 병용금기
에피네프린,클로르프로마진,5,혈압강하,,,식약처 DUR 병용금기
에피네프린,클로르프로틱센,5,혈압강하,,,식약처 DUR 병용금기
시탈로프람,피모짓,5,QT간격 연장,,,식약처 DUR 병용금기
에피네프린,클렌부테롤,5,부정맥 또는 심정지,,,식약처 DUR 병용금기
사이클로스포린,타크로리무스,5,신독성 증가,,,식약처 DUR 병용금기
모클로베미드,에페드린,5,"고혈압, 빈맥 유발",,,식약처 DUR 병용금기
에페드린,에피네프린,5,부정맥 또는 심정지 유도,,,식약처 DUR 병용금기
셀레길린염산염,에페드린,5,"고혈압, 빈맥 유발",,,식약처 DUR 병용금기
에피네프린,페노테롤,5,부정맥 또는 심정지 유도,,,식약처 DUR 병용금기
미졸라스틴,플레카이니드아세테이트,5,심실성부정맥,,,식약처 DUR 병용금기
메트포르민,이오파미돌,5,급성신부전,,,식약처 DUR 병용금기
메트포르민,이오베르솔,5,급성신부전,,,식약처 DUR 병용금기
메트포르민,이옥사글린산,5,급성신부전,,,식약처 DUR 병용금기
에피네프린,이소프로테레놀,5,부정맥 또는 심정지 유도,,,식약처 DUR 병용금기
이소트레티노인,트레티노인,5,비타민A 과잉증,,,식약처 DUR 병용금기
이소니아지드,케토코나졸,5,효소유도로 인한 ketoconazole의 혈중농도 저하,,,식약처 DUR 병용금기
리팜피신,케토코나졸,5,효소유도로 인한 ketoconazole의 혈중농도 저하,,,식약처 DUR 병용금기
덱스케토프로펜,케토롤락,5,"상가적인 위장관 궤양, 출혈의 위험",,,식약처 DUR 병용금기
록소프로펜,케토롤락,5,"상가적인 위장관 궤양, 출혈의 위험",,,식약처 DUR 병용금기
케토롤락,프라노프로펜,5,"상가적인 위장관 궤양, 출혈의 위험",,,식약처 DUR 병용금기
잘토프로펜,케토롤락,5,"상가적인 위장관 궤양, 출혈의 위험",,,식약처 DUR 병용금기
날리딕스산,멜팔란,5,출혈성 궤양대장염과 장괴사,,,식약처 DUR 병용금기
메나테트레논,와파린,5,warfarin의 항응고효과 감소,,,식약처 DUR 병용금기
덱스트로메토르판,모클로베미드,5,"경련, 반사항진, 이상고열, 혼수 등",,,식약처 DUR 병용금기
모르핀,모클로베미드,5,"경련, 반사항진, 이상고열, 혼수 등",,,식약처 DUR 병용금기
모클로베미드,트라마돌,5,"세로토닌 작용에 의한 증후군(중추흥분, 설사, 빈맥, 땀, 진전, 혼동, 혼수 등) 야기",,,식약처 DUR 병용금기
니솔디핀,이트라코나졸,5,nisoldipine의 혈중농도 상승,,,식약처 DUR 병용금기
니솔디핀,케토코나졸,5,nisoldipine의 혈중농도 상승,,,식약처 DUR 병용금기
브로모크립틴,옥트레오티드,5,bromocriptine mesylate 혈중농도 상승,,,식약처 DUR 병용금기
아트로핀,옥사토마이드,5,항콜린 작용 증가,,,식약처 DUR 병용금기
아미설프리드,펜타미딘,5,심실성 부정맥(특히 torsades de pointes) 위험 증가,,,식약처 DUR 병용금기
에피네프린,프로카테롤,5,부정맥 또는 심정지 유도,,,식약처 DUR 병용금기
셀레길린염산염,슈도에페드린,5,"고혈압, 빈맥 유발",,,식약처 DUR 병용금기
리팜피신,이스라디핀,5,isradipine의 혈장농도 저하,,,식약처 DUR 병용금기
니페디핀,리팜피신,5,nifedipine의 혈장농도 저하,,,식약처 DUR 병용금기
니솔디핀,리팜피신,5,nisoldipine의 작용 약화,,,식약처 DUR 병용금기
록시트로마이신,피모짓,5,심실부정맥(Torsades de pointes 포함)등의 심혈관계 이상반응,,,식약처 DUR 병용금기
